Description,Origin School,Destination School,Course #,Title,Enrollments
2023 Spring,GSD,FAS,ROM-STD  290,Migration and the Humanities,2
2023 Spring,GSD,FAS,ROM-STD  296,The Environmental Humanities and New Materialisms: Critical Paths and Trajectories,1
2023 Spring,GSD,FAS,SANSKRIT  101B,Elementary Sanskrit,1
2023 Spring,GSD,FAS,SOCIOL 1141,Contemporary Chinese Society,2
2023 Spring,GSD,FAS,SPANSH   20 006,Intermediate Spanish: Language and Culture in the Hispanic World,1
2023 Spring,GSD,FAS,SPANSH   30 003,"Upper-Level Spanish: Arts of Resistance, Narratives of the Impossible, and Foods that Gather Us",1
2023 Spring,GSD,FAS,SPANSH   61PH 003,Spanish for Public Health,1
2023 Spring,GSD,FAS,SPANSH  131,Latin American Cinema,1
2023 Spring,GSD,FAS,STAT  100,Introduction to Statistics and Data Science,1
2023 Spring,GSD,FAS,TDM  110 1,Foundations in Acting: Pathways,1
2023 Spring,GSD,FAS,TDM  154B,Stage Lighting Studio,1
2023 Spring,GSD,FAS,TDM  158A,Introduction to Costume Design,1
2023 Spring,GSD,FAS,TDM  172B 1,Performing Outside the Theater,1
2023 Spring,GSD,FAS,UKRAN  200B,Ukrainian Studies: Seminar,1
2023 Spring,GSD,HBSM,HBSMBA 1143 00,Global Climate Change,2
2023 Spring,GSD,HBSM,HBSMBA 1286 00,Strategy and Technology,5
2023 Spring,GSD,HBSM,HBSMBA 1306 00,Business Analysis and Valuation Using Financial Statements,1
2023 Spring,GSD,HBSM,HBSMBA 1413 00,How to Not Bankrupt Your Family,1
2023 Spring,GSD,HBSM,HBSMBA 1475 00,Real Estate Investing,5
2023 Spring,GSD,HBSM,HBSMBA 1487 00,"Cities, Structures, and Climate Shocks",2
2023 Spring,GSD,HBSM,HBSMBA 1495 00,Sustainable Investing,1
2023 Spring,GSD,HBSM,HBSMBA 1504 1,Building and Sustaining a Successful Enterprise,5
2023 Spring,GSD,HBSM,HBSMBA 1564 00,Challenges and Opportunities in the Restaurant Industry,1
2023 Spring,GSD,HBSM,HBSMBA 1625 2,Entrepreneurial Finance,3
2023 Spring,GSD,HBSM,HBSMBA 1632 00,3 Technologies that Will Change the World,1
2023 Spring,GSD,HBSM,HBSMBA 1641 00,Data for Impact,1
2023 Spring,GSD,HBSM,HBSMBA 1677 00,Managing the Future of Work,1
2023 Spring,GSD,HBSM,HBSMBA 1715 00,Strategy in Professional Service Firms,1
2023 Spring,GSD,HBSM,HBSMBA 1727 00,Tough Tech Ventures,1
2023 Spring,GSD,HBSM,HBSMBA 1735 00,Leadership in Professional Service Firms,1
2023 Spring,GSD,HBSM,HBSMBA 1740 00,Avoiding Startup Failure,1
2023 Spring,GSD,HBSM,HBSMBA 1788 1,Scaling Technology Ventures,2
2023 Spring,GSD,HBSM,HBSMBA 1788 2,Scaling Technology Ventures,1
2023 Spring,GSD,HBSM,HBSMBA 1905 00,Purpose-Driven Marketing,3
2023 Spring,GSD,HBSM,HBSMBA 2056 00,Power and Influence,1
2023 Spring,GSD,HBSM,HBSMBA 2180 00,Innovating in Health Care,3
2023 Spring,GSD,HBSM,HBSMBA 6334 00,Field Course: Field Y: Projects in Business Management,3
2023 Spring,GSD,HBSM,HBSMBA 6913 00,Field Course: Business of the Arts,1
2023 Spring,GSD,HDS,HDS 1137 01,"Sex, Death, and the Bible",1
2023 Spring,GSD,HDS,HDS 1901B 01,Philosophy in the Desert: Evagrius of Pontus’s “Gnostic Trilogy”,1
2023 Spring,GSD,HDS,HDS 2081 01,Negotiating Across Worldviews,3
2023 Spring,GSD,HDS,HDS 2256 01,Existence Behind the Veil,1
2023 Spring,GSD,HDS,HDS 2360 02,Alternative Spiritualities in the United States,1
2023 Spring,GSD,HDS,HDS 2432 01,"Coloniality, Race, Catastrophe",2
2023 Spring,GSD,HDS,HDS 2592 01,Witch Hunts: Persecution in Public History and Ethics,1
2023 Spring,GSD,HDS,HDS 2733 01,American Democracy,1
2023 Spring,GSD,HDS,HDS 3079 01,Dancing Diaspora: Black Feminist Art and Practice,1
2023 Spring,GSD,HDS,HDS 3092 01,Ethical Discernment in Business Contexts,1
2023 Spring,GSD,HDS,HDS 3160 01,"Religious Dimensions in Human Experience:  Apocalypse, Sports, Music, Home, Sacrifice, Medicine",1
2023 Spring,GSD,HDS,HDS 3335 01,Narratives of Displacement and Belonging in Israel/Palestine,2
2023 Spring,GSD,HGSE,EDUA027 01,Strategic Finance for Nonprofit Leaders,1
2023 Spring,GSD,HGSE,EDUA510A 01,"Fugitive Negotiation: Negotiating Power, Space, and Purpose with/in Educational Institutions",3
2023 Spring,GSD,HGSE,EDUA826 01,The Politics of Education in the Developing World,1
2023 Spring,GSD,HGSE,EDUA833 01,Inter-Asian Perspectives on Global Education,1
2023 Spring,GSD,HGSE,EDUH110G 01,Learning in a Globalizing World: Toward Cultural and Global Awareness for Justice,1
2023 Spring,GSD,HGSE,EDUH213 01,"Queer Nation: LGBTQ+ Protest, Politics, and Policy in the United States",1
2023 Spring,GSD,HGSE,EDUH311 01,Issues of Diversity in Cross-Cultural Counseling and Advocacy,1
2023 Spring,GSD,HGSE,EDUH503M 01,"Race, Ethnicity, and Culture: Contemporary Issues in Asian America",1
2023 Spring,GSD,HGSE,EDUH606 01,Mindfulness for Inner Strengths and Healing the Impacts of Injustice,1
2023 Spring,GSD,HGSE,EDUHT107 01,Topics in Educational Psychology,2
2023 Spring,GSD,HGSE,EDUS305 01,Slow Looking: The Art and Practice of Learning through Observation,2
2023 Spring,GSD,HGSE,EDUT008 01,"Power and Pedagogy: Self, Society, and Transformation",1
2023 Spring,GSD,HGSE,EDUT010Q 91,Visible Thinking: Research and Practice,1
2023 Spring,GSD,HGSE,EDUT552 01,Designing for Global English Learners,2
2023 Spring,GSD,HGSE,EDUT581 01,Digital Prototyping for Deeper Learning,1
2023 Spring,GSD,HKS,API  102 B,"Resources, Incentives, and Choices II:  Analysis of Public Policy",1
2023 Spring,GSD,HKS,API  135,Economics of Climate Change and Environmental Policy,1
2023 Spring,GSD,HKS,API  170,"Managing Climate Change Risks: Information, Incentives, and Institutions",2
2023 Spring,GSD,HKS,API  222,Machine Learning and Big Data Analytics,1
2023 Spring,GSD,HKS,API  303,Game Theory and Strategic Decisions,3
2023 Spring,GSD,HKS,DEV  308,Social Institutions and Economic Development,6
2023 Spring,GSD,HKS,DEV  501M,Native Americans in the 21st Century: Nation Building I,1
2023 Spring,GSD,HKS,DPI  247,Justice by Means of Democracy,1
2023 Spring,GSD,HKS,DPI  348,Progressive Alternatives: Institutional Reconstruction Now,1
2023 Spring,GSD,HKS,DPI  376,"Queer Nation: LGBTQ+ Protest, Politics, and Policy in the United States",1
2023 Spring,GSD,HKS,DPI  515,Disability Law and Policy,1
2023 Spring,GSD,HKS,DPI  642,Grand Challenges in Technology-Society Clashes,1
2023 Spring,GSD,HKS,DPI  664M,"The Internet: What It Is, How Did It Happen, and What Could It Become?",1
2023 Spring,GSD,HKS,DPI  678M B,Product Management and Society: Building Technology in the Public Interest,5
2023 Spring,GSD,HKS,DPI  691M A,Programming and Data for Policymakers,1
2023 Spring,GSD,HKS,DPI  691M B,Programming and Data for Policymakers,2
2023 Spring,GSD,HKS,DPI  802M C,The Arts of Communication,1
2023 Spring,GSD,HKS,DPI  820M B-1,Policy Memo Writing for Decision Makers,1
2023 Spring,GSD,HKS,IGA  100,International and Global Affairs:  Concepts and Applications,1
2023 Spring,GSD,HKS,IGA  422,The Great Food Transformation: Food Systems and Politics,1
2023 Spring,GSD,HKS,IGA  455,"Climate Leadership: Persuasion, Advocacy and Negotiation",16
2023 Spring,GSD,HKS,MLD  201 C,Exercising Leadership: The Politics of Change,1
2023 Spring,GSD,HKS,MLD  304 A,Science of Behavior Change,5
2023 Spring,GSD,HKS,MLD  304 B,Science of Behavior Change,7
2023 Spring,GSD,HKS,MLD  310,Behavioral Science for Inclusive Organizations,3
2023 Spring,GSD,HKS,MLD  375,"Creating Justice in Real Time: Vision, Strategies and Campaigns",1
2023 Spring,GSD,HKS,MLD  377M,"Organizing:  People, Power, Change",1
2023 Spring,GSD,HKS,MLD  381,Mitigating and Managing a Crisis,2
2023 Spring,GSD,HKS,MLD  412,"Greater Boston Applied Field Lab: Advanced Budgeting, Financial Management and Operations",7
2023 Spring,GSD,HKS,MLD  605,"Systems Thinking and Supply Chain Management: Climate, Poverty and Human Rights",1
2023 Spring,GSD,HKS,MLD  617M,Effective Implementation: Learning from Effective Implementers,1
2023 Spring,GSD,HKS,MLD  620M,The Data Smart City: Driving Innovation with Technology,4
2023 Spring,GSD,HKS,RAR  291,Reading and Research: Akash Deep,1
2023 Spring,GSD,HKS,SUP  135,Using Big Data to Solve Economic and Social Problems,8
2023 Spring,GSD,HLS,HLS 2183 3SP0,Mediation,1
2023 Spring,GSD,HLS,HLS 2185 3WI0,Mergers and Acquisitions Workshop: Boardroom Strategies and Deal Tactics,2
2023 Spring,GSD,HLS,HLS 2195 3SP0,Negotiation Workshop,5
2023 Spring,GSD,HLS,HLS 2195 3WS0,Negotiation Workshop,15
2023 Spring,GSD,HLS,HLS 2355 3SP0,Animal Law,1
2023 Spring,GSD,HLS,HLS 2452 3SP0,Constitutional Law: Money and the Making of American Capitalism,1
2023 Spring,GSD,HLS,HLS 2768 3SP0,Hedge and Private Equity Funds: Law and Policy,1
2023 Spring,GSD,HLS,HLS 2921 3SP0,Climate Solutions Living Lab,5
2023 Spring,GSD,HLS,HLS 2929 3WI0,Diversity and Dispute Resolution,1
2023 Spring,GSD,HLS,HLS 3209 3SP0,Wielding Impact: Economics as Tool for Justice,1
2023 Spring,GSD,HMS,BETH  766 IP,U.S. Eugenics: Legacies and Resurgences,1
2023 Spring,GSD,HMS,BMI  741 1,Clinical Informatics II: Health Information and Technology: From Ideation to Implementation,1
2023 Spring,GSD,HMS,NCE  510 1,Anatomy of Innovation: The Biodesign Process,3
2023 Spring,GSD,HSPH,BST  239 1,Health Survey Samples,1
2023 Spring,GSD,HSPH,GHP  208 1,Global Mental Health Delivery: From Research to Practice,1
2023 Spring,GSD,HSPH,HPM  295 1,Design of Social Innovation,4
2023 Spring,GSD,HSPH,HPM  561 1,Loneliness and Public Health,1
2023 Spring,GSD,HSPH,ID  529 1,Data Management and Analytic Workflows in R,1
2023 Spring,GSD,MIT,MIT 1.251 1,Comparative Land Use and Transportation Planning,3
2023 Spring,GSD,MIT,MIT 11.007 1,Urban and Environmental Technology Implementation Lab,2
2023 Spring,GSD,MIT,MIT 11.024 1,Modeling Pedestrian Activity in Cities,1
2023 Spring,GSD,MIT,MIT 11.246 1,DesignX Accelerator,2
2023 Spring,GSD,MIT,MIT 11.255 1,Negotiation and Dispute Resolution in the Public Sector,1
2023 Spring,GSD,MIT,MIT 11.269 1,Global Climate Policy and Sustainability,2
2023 Spring,GSD,MIT,MIT 11.271 1,Indigenous Environmental Planning,2
2023 Spring,GSD,MIT,MIT 11.302 1,Urban Design Politics,1
2023 Spring,GSD,MIT,MIT 11.312 1,Engaging Community: Models and Methods for Strengthening Democracy,1
2023 Spring,GSD,MIT,MIT 11.320 1,Digital City Design Workshop,2
2023 Spring,GSD,MIT,MIT 11.321 1,Data Science and Real Estate,2
2023 Spring,GSD,MIT,MIT 11.324 1,Modeling Pedestrian Activity in Cities,5
2023 Spring,GSD,MIT,MIT 11.350 1,Sustainable Real Estate: Analysis and Investment,1
2023 Spring,GSD,MIT,MIT 11.381 1,Infrastructure Systems in Theory and Practice,5
2023 Spring,GSD,MIT,MIT 11.427 1,Labor Markets and Employment Policy,1
2023 Spring,GSD,MIT,MIT 11.474 1,"D-Lab: Water, Sanitation and Hygiene",1
2023 Spring,GSD,MIT,MIT 11.486 1,Peace and Conflict Geographies,4
2023 Spring,GSD,MIT,MIT 11.494 1,Cities of Contested Memory,3
2023 Spring,GSD,MIT,MIT 11.526 1,Comparative Land Use and Transportation Planning,1
2023 Spring,GSD,MIT,MIT 11.547 1,Global Aging & the Built Environment,13
2023 Spring,GSD,MIT,MIT 11.651 1,USA Lab: Bridging the American Divides,2
2023 Spring,GSD,MIT,MIT 11.C35 1,Interactive Data Visualization and Society,1
2023 Spring,GSD,MIT,MIT 11.C85 1,Interactive Data Visualization and Society,1
2023 Spring,GSD,MIT,MIT 11.S939 1,Special Subject: Urban Studies and Planning,1
2023 Spring,GSD,MIT,MIT 11.S941 1,Special Subject: Urban Studies and Planning,1
2023 Spring,GSD,MIT,MIT 11.S942 1,Special Subject: Urban Studies and Planning,1
2023 Spring,GSD,MIT,MIT 11.S968 1,Special Seminar: Real Estate,3
2023 Spring,GSD,MIT,MIT 12.409 1,Hands-On Astronomy: Observing Stars and Planets,2
2023 Spring,GSD,MIT,MIT 14.01 1,Principles of Microeconomics,2
2023 Spring,GSD,MIT,MIT 15.022 1,Real Estate Markets: Macroeconomics,1
2023 Spring,GSD,MIT,MIT 15.226 1,Modern Business in Southeast Asia: ASEAN Lab,2
2023 Spring,GSD,MIT,MIT 15.236 1,Global Business of Artificial Intelligence and Robotics (GBAIR),1
2023 Spring,GSD,MIT,MIT 15.376 1,AI for Impact: Solving Societal-Scale Problems,2
2023 Spring,GSD,MIT,MIT 15.387 1,Entrepreneurial Sales,1
2023 Spring,GSD,MIT,MIT 15.388 1,Venture Creation Tactics,1
2023 Spring,GSD,MIT,MIT 15.390 L01,Entrepreneurship 101: Systematic Approach to New Venture Creation,3
2023 Spring,GSD,MIT,MIT 15.390 L02,Entrepreneurship 101: Systematic Approach to New Venture Creation,2
2023 Spring,GSD,MIT,MIT 15.392 1,Scaling Entrepreneurial Ventures,1
2023 Spring,GSD,MIT,MIT 15.394 1,Entrepreneurial Founding and Teams,1
2023 Spring,GSD,MIT,MIT 15.401 L02,Managerial Finance,1
2023 Spring,GSD,MIT,MIT 15.401 L03,Managerial Finance,1
2023 Spring,GSD,MIT,MIT 15.402 L01,Corporate Finance,1
2023 Spring,GSD,MIT,MIT 15.402 L03,Corporate Finance,1
2023 Spring,GSD,MIT,MIT 15.429 1,Securitization of Mortgages and Other Assets,1
2023 Spring,GSD,MIT,MIT 15.465 L01,Alphanomics: A New Approach to Security Analysis,1
2023 Spring,GSD,MIT,MIT 15.516 L01,Corporate Financial Accounting,1
2023 Spring,GSD,MIT,MIT 15.521 L01,Accounting Information for Decision Makers,2
2023 Spring,GSD,MIT,MIT 15.535 L01,Business Analysis Using Financial Statements,1
2023 Spring,GSD,MIT,MIT 15.535 L02,Business Analysis Using Financial Statements,1
2023 Spring,GSD,MIT,MIT 15.563 1,Artificial Intelligence for Business,2
2023 Spring,GSD,MIT,MIT 15.618 1,Startups and the Law,5
2023 Spring,GSD,MIT,MIT 15.761 L01,Introduction to Operations Management,1
2023 Spring,GSD,MIT,MIT 15.761 L02,Introduction to Operations Management,1
2023 Spring,GSD,MIT,MIT 15.762 1,Supply Chain Analytics,1
2023 Spring,GSD,MIT,MIT 15.763 1,Supply Chain: Capacity Analytics,1
2023 Spring,GSD,MIT,MIT 15.814 1,Marketing Innovation,4
2023 Spring,GSD,MIT,MIT 15.8141 1,Marketing Innovation,8
2023 Spring,GSD,MIT,MIT 15.821 1,Listening to the Customer,1
2023 Spring,GSD,MIT,MIT 15.846 L01,Branding,2
2023 Spring,GSD,MIT,MIT 15.847 L01,Consumer Behavior,3
2023 Spring,GSD,MIT,MIT 15.847 L02,Consumer Behavior,1
2023 Spring,GSD,MIT,MIT 15.8471 L02,Consumer Behavior,2
2023 Spring,GSD,MIT,MIT 15.911 L01,Entrepreneurial Strategy,1
2023 Spring,GSD,MIT,MIT 15.911 L02,Entrepreneurial Strategy,1
2023 Spring,GSD,MIT,MIT 15.915 1,Business Strategies for a Sustainable Future,1
2023 Spring,GSD,MIT,MIT 16.6621 1,Introduction to Design Thinking and Innovation in Engineering,1
2023 Spring,GSD,MIT,MIT 2.00B 1,Toy Product Design,1
2023 Spring,GSD,MIT,MIT 2.S990 1,Graduate Special Subject in Mechanical Engineering,1
2023 Spring,GSD,MIT,MIT 2.S998 1,Graduate Special Subject in Mechanical Engineering,1
2023 Spring,GSD,MIT,MIT 21H.986 1,"Money, Credit, and Financial Crisis, 1850-2020",1
2023 Spring,GSD,MIT,MIT 21H.989 1,Histories of Extraction and Mining,2
2023 Spring,GSD,MIT,MIT 21M.295 1,American Popular Music,1
2023 Spring,GSD,MIT,MIT 21M.470 1,MIT Laptop Ensemble,2
2023 Spring,GSD,MIT,MIT 21M.605 L04,Voice and Speech for the Actor,1
2023 Spring,GSD,MIT,MIT 21M.821 1,Production Design Visualization,1
2023 Spring,GSD,MIT,MIT 21M.843 1,Live Cinema Performance,2
2023 Spring,GSD,MIT,MIT 3.373 1,Computing Fabrics,1
2023 Spring,GSD,MIT,MIT 4.032 1,Design Studio: Information Design and Visualization,3
2023 Spring,GSD,MIT,MIT 4.033 1,Design Studio: Information Design and Visualization,2
2023 Spring,GSD,MIT,MIT 4.043 1,Design Studio: Interaction Intelligence,2
2023 Spring,GSD,MIT,MIT 4.044 1,Design Studio: Interaction Intelligence,7
2023 Spring,GSD,MIT,MIT 4.120 1,Furniture Making Workshop,1
2023 Spring,GSD,MIT,MIT 4.246 1,DesignX Accelerator,3
2023 Spring,GSD,MIT,MIT 4.253 1,Urban Design Politics,3
2023 Spring,GSD,MIT,MIT 4.352 1,Advanced Video and Related Media,1
2023 Spring,GSD,MIT,MIT 4.359 1,Synchronizations of Senses,2
2023 Spring,GSD,MIT,MIT 4.368 1,Studio Seminar in Art and the Public Sphere,1
2023 Spring,GSD,MIT,MIT 4.369 1,Studio Seminar in Art and the Public Sphere,2
2023 Spring,GSD,MIT,MIT 4.421 1,Space-Conditioning Systems for Low-Carbon Buildings,1
2023 Spring,GSD,MIT,MIT 4.441 1,From the Solar House to Net Zero Buildings,2
2023 Spring,GSD,MIT,MIT 4.453 1,Creative Machine Learning for Design,7
2023 Spring,GSD,MIT,MIT 4.511 1,Tiny Fab: Advancements in Rapid Design and Fabrication of Small Homes,1
2023 Spring,GSD,MIT,MIT 4.541 1,Introduction to Shape Grammars II,4
2023 Spring,GSD,MIT,MIT 4.542 1,Background to Shape Grammars,1
2023 Spring,GSD,MIT,MIT 4.570 1,Computational Design Lab,2
2023 Spring,GSD,MIT,MIT 4.617 1,Advanced Study in Islamic Urban History,1
2023 Spring,GSD,MIT,MIT 4.650 1,A Global History of Architecture,1
2023 Spring,GSD,MIT,MIT 4.654 1,Media Theory,1
2023 Spring,GSD,MIT,MIT 4.S22 1,Special Subject: Architecture Studies,4
2023 Spring,GSD,MIT,MIT 4.S32 1,"Special Subject: Art, Culture, and Technology",9
2023 Spring,GSD,MIT,MIT 4.S34 1,"Special Subject: Art, Culture, and Technology",1
2023 Spring,GSD,MIT,MIT 4.S68 1,Special Subject: Study in Modern Architecture,3
2023 Spring,GSD,MIT,MIT 6.100L 1,Introduction to Computer Science and Programming,4
2023 Spring,GSD,MIT,MIT 6.1010 1,Fundamentals of Programming,4
2023 Spring,GSD,MIT,MIT 6.4550 1,Interactive Music Systems,1
2023 Spring,GSD,MIT,MIT 6.8300 1,Advances in Computer Vision,1
2023 Spring,GSD,MIT,MIT 9.00 1,Introduction to Psychological Science,1
2023 Spring,GSD,MIT,MIT 9.550 L01,Consumer Behavior,1
2023 Spring,GSD,MIT,MIT CMS.306 1,Making Comics and Sequential Art,1
2023 Spring,GSD,MIT,MIT CMS.806 1,Making Comics and Sequential Art,1
2023 Spring,GSD,MIT,MIT EC.780 1,D-Lab: Independent Project,1
2023 Spring,GSD,MIT,MIT EC.783 1,Entrepreneurship for the Idealist,1
2023 Spring,GSD,MIT,MIT EC.789 1,D-Lab: Climate Change and Planetary Health,2
2023 Spring,GSD,MIT,MIT EM.S22 1,Special Subject in Engineering Management,7
2023 Spring,GSD,MIT,MIT ES.92 1,Authenticity - MIT Prison Initiative,1
2023 Spring,GSD,MIT,MIT MAS.600 1,Human 2.0,2
2023 Spring,GSD,MIT,MIT MAS.664 1,AI for Impact: Solving Societal-Scale Problems,1
2023 Spring,GSD,MIT,MIT MAS.690 1,Independent Study in Media Arts and Sciences,3
2023 Spring,GSD,MIT,MIT MAS.712 1,Learning Creative Learning,3
2023 Spring,GSD,MIT,MIT MAS.772 1,AI for Mental Health,3
2023 Spring,GSD,MIT,MIT MAS.826 1,Projects in Media and Music,3
2023 Spring,GSD,MIT,MIT MAS.842 1,Safeguarding the Future,1
2023 Spring,GSD,MIT,MIT MAS.S61 1,Special Subject in Media Technology,4
2023 Spring,GSD,MIT,MIT MAS.S62 1,Special Subject in Media Technology,2
2023 Spring,GSD,MIT,MIT MAS.S64 1,Special Subject in Media Technology,13
2023 Spring,GSD,MIT,MIT MAS.S65 1,Special Subject in Media Technology,1
2023 Spring,GSD,MIT,MIT MAS.S68 1,Special Subject in Media Technology,1
2023 Spring,GSD,MIT,MIT SCM.287 1,Global Aging & the Built Environment,1
2023 Fall,GSD,FAS,AFRAMER  146X,A Black History of Electronic Dance Music,1
2023 Fall,GSD,FAS,AFRAMER  232,The Ethnic Avant-Garde,1
2023 Fall,GSD,FAS,AFVS   14 1,Making Things [Breaking Things],2
2023 Fall,GSD,FAS,AFVS   63 1,Introduction to Time-Based Media,1
2023 Fall,GSD,FAS,AFVS  112E,"Drawing 2: Subversive Marks: Drawing, Notation, and Meaning",2
2023 Fall,GSD,FAS,AFVS  158CR,Sensory Ethnography 3,1
2023 Fall,GSD,FAS,AFVS  158DR,Sensory Ethnography 4,1
2023 Fall,GSD,FAS,AFVS  189G,The Frankfurt School on Film and Mass Culture,1
2023 Fall,GSD,FAS,AFVS  237,The Present Tense,2
2023 Fall,GSD,FAS,AFVS  264,Advanced Projects in Time-Based Media,1
2023 Fall,GSD,FAS,AFVS  272,Proseminar in Film and Visual Studies,1
2023 Fall,GSD,FAS,ANE  134,How do rituals work? Ancient Ritual and Modern Theory,1
2023 Fall,GSD,FAS,ANTHRO 1698,Anthropology of Death and Immortality,1
2023 Fall,GSD,FAS,ANTHRO 1936,Anthropology of Religion,1
2023 Fall,GSD,FAS,ANTHRO 2900,Genealogies of Social Anthropology at Harvard,1
2023 Fall,GSD,FAS,BCSAA,"Elementary Bosnian, Croatian, and Serbian I",1
2023 Fall,GSD,FAS,CHNSE  107A 002,Intermediate Literary Sinitic,1
2023 Fall,GSD,FAS,COMPLIT  188 SEM,Futurisms (a comparative history),1
2023 Fall,GSD,FAS,COMPLIT  278 SEM,Hyperreality,4
2023 Fall,GSD,FAS,COMPSCI   50,Introduction to Computer Science,11
2023 Fall,GSD,FAS,COMPSCI   79,Design of Useful and Usable Interactive Systems,2
2023 Fall,GSD,FAS,COMPSCI  109A,Data Science 1: Introduction to Data Science,6
2023 Fall,GSD,FAS,COMPSCI  171,Visualization,3
2023 Fall,GSD,FAS,COMPSCI  249R,Topics in Edge Computing: Architecture 2.0: Agentic AI for Computer Systems Design,1
2023 Fall,GSD,FAS,COMPSCI  252R,Advanced Topics in Programming Languages,1
2023 Fall,GSD,FAS,COMPSCI  279R,Research Topics in Human-Computer Interaction,7
2023 Fall,GSD,FAS,COMPSCI  283,Advanced Computer Vision,1
2023 Fall,GSD,FAS,EAFM  151 01,Documenting China on Film,3
2023 Fall,GSD,FAS,EAFM  202 01,Rip and Tear--The Body as Moving and Moved Image in Japanese Film: Seminar,1
2023 Fall,GSD,FAS,EASTD  143A 01,Digital Tools and Methods in East Asian Humanities: No-coding Approach,1
2023 Fall,GSD,FAS,ECON 1021,Using Markets to Solve Social Problems,1
2023 Fall,GSD,FAS,ECON 2110,Econometrics I,1
2023 Fall,GSD,FAS,ENG-SCI  157,Biological Signal Processing,1
2023 Fall,GSD,FAS,ENG-SCI  192,Materials Selection and Design,1
2023 Fall,GSD,FAS,ENG-SCI  223,Neurophysiology and Neural Interfaces,3
2023 Fall,GSD,FAS,ENG-SCI  224,Advanced Biomechanics and Assistive Robotics,3
2023 Fall,GSD,FAS,ENG-SCI  276,Introduction to Microelectromechanical Systems,1
2023 Fall,GSD,FAS,ENG-SCI  297,Professional Writing for Scientists and Engineers,3
2023 Fall,GSD,FAS,ENGLISH   90RI,Race in the Age of Artificial Intelligence,1
2023 Fall,GSD,FAS,ENGLISHCRGS,The Surrounds: Writing Interiority and Outsiderness,1
2023 Fall,GSD,FAS,ENGLISHCVLL,Art of Listening. The Politics and Aesthetics of Sound,1
2023 Fall,GSD,FAS,ESPP   77,"Technology, Environment, and Society",3
2023 Fall,GSD,FAS,FRENCH   20 002,Intermediate French: Francophone Culture in Local Communities,2
2023 Fall,GSD,FAS,FRENCH  135,Under the Table/Sous la Table,2
2023 Fall,GSD,FAS,GENED 1011,Contemporary Developing Countries: Entrepreneurial Solutions to Intractable Problems,1
2023 Fall,GSD,FAS,GENED 1080,How Music Works: Engineering the Acoustical World,1
2023 Fall,GSD,FAS,GENED 1136,Power and Civilization: China,1
2023 Fall,GSD,FAS,GERMAN   10A 2,Beginning German,1
2023 Fall,GSD,FAS,GERMAN  291 1,Questions of Theory,1
2023 Fall,GSD,FAS,GOV 1008,Introduction to Geographic Information Systems,1
2023 Fall,GSD,FAS,GOV 1796,"Central Challenges of American National Security, Strategy, and the Press",1
2023 Fall,GSD,FAS,HAA   81,Art of Monsoon Asia: Interconnected Histories,5
2023 Fall,GSD,FAS,HAA  226V,"Visual, Material, Architectural Cultures btw East and West (Early Modern Ottoman Empire, 15-17th C)",2
2023 Fall,GSD,FAS,HAA  276P,Photomontage & the Power of Assembly,1
2023 Fall,GSD,FAS,HIST 2651 01,Japanese History: Seminar,1
2023 Fall,GSD,FAS,HISTSCI 2270,Scientific Visualization: From Galileo to DNA and Black Holes,4
2023 Fall,GSD,FAS,HISTSCI 2985,"Science, Power and Politics",2
2023 Fall,GSD,FAS,JAPAN  140A 002,Advanced Modern Japanese,1
2023 Fall,GSD,FAS,JAPAN  150A,Readings and Discussion in Japanese Social Sciences,2
2023 Fall,GSD,FAS,KOREANBA,Elementary Korean,1
2023 Fall,GSD,FAS,MUSIC  285R SEM,Sonic Mapping and the Black Experience,2
2023 Fall,GSD,FAS,OEB  120,Plants and Climate,1
2023 Fall,GSD,FAS,OEB  137,Experimental Design and Statistics for Ecology,1
2023 Fall,GSD,FAS,PHIL  185,Philosophy and Architecture,1
2023 Fall,GSD,FAS,PHIL  242Q,Foundations of Set Theory,2
2023 Fall,GSD,FAS,PSY 1005,Health: A Positive Psychology Perspective,1
2023 Fall,GSD,FAS,PSY 1026,Psychology of Communication,1
2023 Fall,GSD,FAS,ROM-STD  201,Questions of Theory,1
2023 Fall,GSD,FAS,SCRB  111,Regeneration:  Phenomena to Mechanisms,1
2023 Fall,GSD,FAS,SLAVIC  133 1,Modernist Journeys,1
2023 Fall,GSD,FAS,SOMALIBA,Intermediate Somali,1
2023 Fall,GSD,FAS,SPANSH   10 004,"Introduction to the Spanish-speaking World I: Histories, Cultures, and Traditions.",1
2023 Fall,GSD,FAS,TDM  150,Directorial Concepts and Set Design of the 20th and 21st Centuries,4
2023 Fall,GSD,FAS,TDM  156G 1,Production Process for Live Performance,1
2023 Fall,GSD,FAS,TDM  164H,Playwriting: Ritual Practice and Curious Worlds,2
2023 Fall,GSD,FAS,TDM  172B,Performing Outside the Theater,1
2023 Fall,GSD,FAS,TDM  187B,Collective Protocols as Public Space,6
2023 Fall,GSD,FAS,WOMGEN 1400,Queer Ethnographies,1
2023 Fall,GSD,FAS,WOMGEN 1414,Bodies of Transformation,1
2023 Fall,GSD,FAS,ZULUAA,Elementary Zulu,1
2023 Fall,GSD,HBSM,HBSMBA 1155 1,Business and Geopolitics,2
2023 Fall,GSD,HBSM,HBSMBA 1230 00,Revitalizing the Corporation: Modern Corporate Strategy,1
2023 Fall,GSD,HBSM,HBSMBA 1257 00,Strategy for Entrepreneurs,2
